varietal,country,alcohol_pct,acidity,sweetness,tannin,body,complexity,persistence,rating,price_segment,aging_potential_years,aroma_red_fruit,aroma_black_fruit,aroma_floral,aroma_spice,aroma_wood,aroma_mineral,aroma_herbal,aroma_white_yellow_fruit
Merlot,Spain,15.3,3,5,5,2,3,3,88.3,Entry,4,1,1,0,1,0,1,1,0
Riesling,Chile,11.0,4,5,1,4,2,5,87.8,Entry,10,1,1,1,1,0,1,1,1
Zinfandel,Italy,12.7,4,1,3,5,3,5,88.1,Premium,4,0,1,1,1,1,0,1,0
Cabernet Sauvignon,Spain,12.1,4,4,5,3,1,4,83.3,Icon,2,1,1,1,1,1,1,0,0
Chenin Blanc,France,12.8,4,4,1,5,5,2,89.7,Icon,13,0,0,0,0,0,0,0,1
Torrontes,Germany,12.8,3,3,1,3,3,1,90.9,Premium,7,1,0,1,0,0,1,1,1
Cabernet Sauvignon,Argentina,11.3,5,3,4,3,3,1,86.9,Ultra Premium,14,0,0,0,1,0,0,1,0
Merlot,Portugal,14.2,2,2,4,5,3,1,85.7,Icon,4,1,0,0,0,0,0,0,0
Bonarda,Australia,12.3,4,2,2,5,1,5,95.7,Icon,12,1,1,1,1,0,1,1,1
Merlot,Argentina,12.2,3,1,4,5,1,3,80.1,Icon,9,1,0,0,0,1,1,1,0
Zinfandel,Chile,12.0,1,4,1,1,2,4,84.4,Ultra Premium,2,0,0,0,0,1,0,0,0
Carmenere,France,13.3,5,1,1,3,2,5,88.8,Icon,6,1,0,1,0,0,1,0,1
Carmenere,Chile,12.7,4,2,3,1,1,4,89.1,Icon,3,1,1,0,1,0,1,0,0
Semillon,Spain,13.9,4,1,1,2,1,3,86.1,Entry,18,0,0,1,1,0,0,1,1
Garnacha,Portugal,13.3,1,2,1,4,5,5,95.9,Ultra Premium,9,0,0,0,1,1,0,1,0
Malbec,Germany,14.8,1,4,4,3,1,3,97.5,Premium,14,1,1,1,0,1,0,0,0
Bonarda,Argentina,11.1,5,4,3,1,1,4,89.2,Premium,14,1,1,1,0,0,1,1,0
Cabernet Sauvignon,USA,13.3,4,1,5,4,5,3,90.3,Icon,17,1,0,1,1,1,0,1,0
Tempranillo,Italy,14.4,5,5,1,5,3,4,95.4,Ultra Premium,1,1,0,1,1,0,1,0,1
Cabernet Franc,Germany,11.3,2,2,3,2,2,2,93.3,Entry,9,0,1,1,0,0,1,0,0
Cabernet Franc,France,14.9,5,4,2,1,4,5,83.5,Icon,14,1,1,1,0,0,0,1,1
Cabernet Sauvignon,France,13.0,3,1,2,5,2,2,80.5,Icon,10,1,0,1,0,1,0,0,0
Pinot Noir,USA,12.2,4,5,4,5,4,3,91.5,Icon,16,0,1,1,1,1,0,0,0
Semillon,Australia,12.1,2,5,1,4,5,1,83.1,Entry,15,1,1,1,1,1,0,1,1
Nebbiolo,USA,13.9,5,5,5,3,4,2,86.4,Entry,14,1,0,0,0,1,1,1,0
Syrah,USA,13.1,1,5,2,2,5,4,80.8,Ultra Premium,10,1,0,1,1,0,1,0,1
Nebbiolo,Spain,13.8,2,1,4,3,4,4,87.0,Icon,1,0,0,0,0,0,1,0,0
Malbec,Argentina,13.9,3,4,5,5,4,2,80.7,Premium,3,0,0,1,1,0,1,1,0
Cabernet Sauvignon,Italy,12.3,4,2,5,2,5,3,95.8,Icon,4,1,0,0,1,1,0,0,0
Cabernet Franc,Spain,12.7,5,4,1,5,1,3,81.9,Entry,17,1,1,1,0,1,0,0,0
Semillon,Argentina,11.2,5,1,3,4,1,4,97.1,Icon,19,1,0,1,0,0,0,1,1
Bonarda,USA,14.6,1,5,5,2,2,2,87.9,Ultra Premium,11,0,1,0,1,0,1,1,0
Riesling,Argentina,11.5,5,2,1,2,3,2,82.6,Entry,5,1,0,1,1,0,0,1,1
Carmenere,Australia,15.4,4,4,4,3,5,4,90.1,Ultra Premium,10,1,0,0,1,0,0,0,0
Chenin Blanc,Spain,11.5,5,1,1,3,5,4,97.3,Ultra Premium,17,0,1,0,1,0,1,1,1
Riesling,USA,11.2,5,3,4,5,4,3,92.5,Entry,18,0,0,0,1,0,0,0,1
Cabernet Franc,Australia,11.2,4,2,4,4,5,2,83.4,Premium,8,1,1,1,1,1,0,0,0
Bonarda,Chile,11.1,1,1,5,4,5,4,84.9,Entry,14,0,0,1,1,0,1,0,0
Zinfandel,Portugal,12.9,2,3,5,5,1,1,88.6,Ultra Premium,17,0,0,1,0,0,1,0,0
Carmenere,Argentina,13.1,3,1,5,4,1,5,98.0,Premium,3,0,0,0,0,0,1,1,0
Semillon,Argentina,12.1,1,1,3,5,5,4,84.1,Entry,8,1,1,1,0,1,0,1,1
Cabernet Sauvignon,Chile,14.5,3,2,4,1,4,5,81.6,Ultra Premium,17,1,0,0,0,0,0,0,0
Sangiovese,France,14.6,4,2,2,2,2,3,81.6,Premium,6,0,1,0,1,1,0,1,0
Semillon,Argentina,15.3,4,2,1,2,1,4,81.2,Entry,2,1,0,1,0,1,0,0,1
Garnacha,Italy,13.4,3,4,4,1,3,3,89.3,Icon,18,0,1,0,0,0,0,1,0
Chardonnay,Chile,11.4,1,5,1,4,2,2,82.3,Premium,13,0,0,1,0,0,0,1,1
Zinfandel,Germany,14.9,5,1,2,4,1,1,90.8,Icon,15,0,0,1,1,1,1,1,0
Sangiovese,Germany,14.2,2,3,3,3,3,4,81.9,Premium,6,0,0,0,1,0,0,0,0
Chardonnay,Australia,12.4,2,4,1,1,5,4,88.5,Premium,3,0,0,1,0,1,0,1,1
Cabernet Sauvignon,Germany,13.6,4,3,2,1,5,4,91.6,Premium,13,1,0,0,0,0,1,0,1
Tempranillo,Chile,12.1,4,3,1,3,3,5,97.7,Ultra Premium,6,1,1,1,0,1,0,1,0
Carmenere,Germany,14.3,1,2,3,2,3,5,93.9,Premium,4,0,1,0,1,0,1,0,0
Malbec,Chile,13.6,3,4,5,3,3,1,86.6,Icon,10,0,0,1,1,1,0,1,0
Cabernet Sauvignon,Spain,12.1,5,1,1,1,3,3,86.3,Entry,5,1,1,1,1,1,0,1,0
Sauvignon Blanc,Portugal,11.9,3,3,1,4,5,3,94.3,Premium,3,0,0,0,0,0,1,1,1
Bonarda,Portugal,14.9,1,2,3,5,1,1,84.2,Entry,15,0,1,1,0,1,1,0,0
Merlot,Italy,12.9,3,3,2,4,5,1,89.6,Ultra Premium,4,0,1,0,0,0,0,0,0
Malbec,Spain,13.6,2,5,3,2,1,5,82.0,Icon,13,1,1,1,0,0,1,0,0
Zinfandel,Spain,14.3,2,3,3,3,4,4,92.9,Ultra Premium,5,1,0,1,1,1,1,1,0
Pinot Noir,Australia,13.1,3,4,2,5,2,1,84.6,Icon,11,1,1,1,1,1,0,1,0
Syrah,Germany,13.9,1,4,2,1,3,5,81.9,Entry,11,0,0,1,0,0,1,1,1
Bonarda,Chile,14.8,1,3,5,1,5,1,83.7,Entry,9,0,0,1,0,1,0,1,0
Cabernet Sauvignon,Australia,12.6,2,3,1,3,3,4,96.4,Premium,7,1,1,0,1,0,0,0,0
Sauvignon Blanc,Chile,12.0,2,5,1,1,4,1,82.7,Premium,8,0,0,0,1,0,1,0,1
Semillon,Germany,15.0,5,1,5,5,3,2,85.3,Ultra Premium,15,1,1,1,1,0,1,1,1
Tempranillo,Italy,11.7,1,5,3,2,2,3,91.6,Icon,1,0,0,1,1,1,0,0,0
Pinot Noir,Argentina,13.5,3,3,5,1,5,3,96.0,Icon,15,1,1,0,1,1,1,1,0
Sangiovese,Spain,15.2,5,2,2,1,5,3,82.2,Ultra Premium,4,0,1,1,1,0,0,0,1
Sauvignon Blanc,France,12.6,4,4,5,5,1,2,95.5,Ultra Premium,12,1,0,1,1,1,0,1,1
Carmenere,France,11.1,1,2,5,1,1,3,87.6,Premium,13,1,0,0,0,1,1,1,0
Chardonnay,Spain,13.2,2,1,5,1,2,4,83.7,Premium,6,0,1,1,1,0,0,0,1
Merlot,Argentina,12.9,4,2,2,4,3,1,81.5,Icon,19,1,0,0,0,1,0,1,0
Bonarda,Argentina,14.2,3,2,5,1,2,4,89.7,Ultra Premium,3,1,0,0,1,0,0,0,0
Cabernet Sauvignon,Portugal,14.5,5,1,1,1,1,1,92.7,Icon,10,0,0,0,0,1,0,1,0
Riesling,Italy,12.2,2,4,3,5,4,3,96.5,Entry,17,1,0,0,0,0,1,1,1
Garnacha,Germany,14.4,5,1,5,1,2,1,91.6,Ultra Premium,9,0,1,0,1,1,1,0,0
Carmenere,Australia,13.5,2,5,1,3,2,3,97.0,Premium,7,0,1,0,1,0,0,1,0
Cabernet Franc,France,15.0,3,2,4,1,4,5,91.9,Entry,18,0,1,0,1,1,1,1,0
Cabernet Franc,France,11.1,5,5,2,3,3,4,80.9,Entry,12,0,1,1,1,0,0,1,1
Merlot,Spain,14.3,1,3,5,2,4,2,84.2,Entry,16,0,0,1,0,0,0,0,0
Bonarda,USA,14.5,3,4,3,5,2,1,93.4,Icon,8,1,0,0,1,0,0,0,0
Sangiovese,France,12.7,1,1,2,3,5,5,91.3,Ultra Premium,17,0,0,1,1,0,0,0,1
Chardonnay,Italy,14.4,1,3,3,5,5,1,90.7,Premium,5,1,0,0,1,0,0,1,1
Torrontes,Italy,15.3,4,2,1,1,5,3,81.6,Icon,15,1,1,0,0,1,1,1,1
Tempranillo,USA,12.0,5,4,5,5,1,2,88.9,Icon,19,1,0,1,1,1,1,0,0
Nebbiolo,Argentina,15.0,3,4,1,3,3,1,86.0,Entry,10,1,0,0,1,1,0,0,0
Sauvignon Blanc,Portugal,11.1,2,2,3,5,2,4,90.0,Entry,12,0,1,1,0,1,0,0,1
Torrontes,Argentina,11.5,2,4,5,3,3,2,87.8,Premium,15,1,0,0,1,1,1,1,1
Bonarda,France,15.3,1,4,1,2,1,2,81.3,Premium,18,1,1,0,0,1,1,0,0
Cabernet Franc,Spain,14.4,5,3,1,3,3,2,80.0,Premium,14,1,0,1,0,0,0,0,1
Merlot,Australia,14.7,3,4,2,4,3,3,95.6,Premium,12,1,1,0,0,0,1,0,1
Tempranillo,Italy,12.2,3,3,1,2,4,2,83.8,Icon,17,0,1,1,1,0,1,1,1
Pinot Noir,Portugal,14.9,5,3,2,4,3,5,82.4,Entry,3,1,1,0,0,1,1,0,0
Carmenere,Spain,12.9,1,4,5,5,2,3,97.7,Entry,8,0,1,1,1,1,1,0,0
Tempranillo,Portugal,14.9,1,3,3,1,1,4,97.8,Icon,15,1,1,1,1,1,0,1,0
Pinot Noir,France,12.5,2,1,1,1,5,1,94.8,Premium,7,1,1,0,1,1,1,1,0
Zinfandel,France,11.2,4,1,3,5,3,3,80.6,Premium,9,0,0,1,0,1,1,1,0
Pinot Noir,France,13.8,4,3,3,4,4,2,94.1,Ultra Premium,3,0,0,1,1,1,0,1,0
Riesling,Australia,13.9,1,5,3,2,3,4,93.4,Entry,19,1,1,1,1,0,1,0,1
Torrontes,Italy,11.4,3,3,5,5,1,4,83.1,Entry,5,1,1,1,1,1,1,1,1
Chenin Blanc,Argentina,13.3,1,4,2,5,2,4,95.7,Premium,4,1,0,1,0,0,1,1,1
Riesling,Italy,13.8,5,1,3,2,4,2,84.3,Premium,2,0,0,0,1,0,0,1,1
Zinfandel,Germany,13.6,4,2,1,3,1,1,87.2,Ultra Premium,5,0,0,0,1,1,1,1,0
Nebbiolo,Australia,13.0,3,2,3,2,5,2,92.0,Entry,1,0,1,1,0,1,0,0,0
Sauvignon Blanc,USA,12.6,4,5,1,1,4,4,95.6,Premium,12,0,0,1,1,1,1,0,1
Syrah,Spain,11.2,1,3,5,5,3,5,81.9,Ultra Premium,14,1,1,1,0,1,1,0,0
Sauvignon Blanc,France,12.5,5,1,3,2,4,4,82.3,Premium,13,1,1,1,1,1,0,1,1
Chenin Blanc,USA,11.4,5,5,2,1,2,3,92.3,Premium,18,0,1,1,0,1,0,1,1
Pinot Noir,Portugal,14.1,1,1,3,5,5,1,81.9,Icon,2,1,1,1,0,0,0,0,0
Garnacha,Portugal,11.4,1,3,4,2,5,4,92.0,Premium,2,1,0,0,0,0,0,0,0
Malbec,Germany,12.3,1,5,1,4,2,5,86.8,Entry,1,0,1,0,0,1,1,1,0
Sauvignon Blanc,Italy,11.8,2,2,1,3,5,2,97.1,Premium,6,1,0,0,1,0,1,0,1
Cabernet Sauvignon,USA,12.1,4,3,2,4,3,3,80.3,Ultra Premium,11,0,1,0,0,1,0,0,0
Bonarda,Italy,11.3,5,5,3,2,5,4,84.6,Icon,14,0,0,0,1,0,1,1,0
Chardonnay,Spain,14.2,2,1,5,4,2,1,89.4,Ultra Premium,12,1,0,0,0,0,0,1,1
Carmenere,Germany,15.3,4,1,4,5,2,3,80.0,Premium,9,1,0,0,1,1,1,0,0
Chardonnay,Germany,14.5,1,2,3,5,4,2,93.2,Icon,7,1,0,1,0,1,1,0,1
Chenin Blanc,USA,11.8,3,4,2,1,5,1,83.2,Entry,15,0,1,0,1,0,1,0,1
Sangiovese,Portugal,13.2,2,3,5,2,3,2,87.7,Ultra Premium,9,0,0,0,1,1,1,0,0
Bonarda,Chile,13.6,5,4,5,1,4,3,87.2,Entry,6,0,0,1,0,0,1,1,0
Syrah,USA,12.2,2,3,4,5,2,3,83.4,Premium,12,1,1,0,0,1,0,1,0
Pinot Noir,Chile,13.5,4,5,5,5,1,2,81.7,Entry,16,1,0,1,1,1,1,0,0
Garnacha,Australia,12.8,5,4,4,1,1,5,81.7,Premium,18,1,0,1,0,0,1,1,0
Tempranillo,Spain,14.2,4,1,2,5,2,1,81.6,Ultra Premium,9,0,0,0,1,1,0,1,0
Bonarda,France,13.3,3,3,4,5,4,2,89.0,Entry,10,1,1,0,0,1,1,1,0
Sangiovese,Chile,11.6,4,1,5,3,2,3,92.5,Premium,14,1,1,1,1,0,1,0,0
Malbec,Spain,13.7,1,5,4,3,3,1,94.9,Entry,2,1,0,1,1,0,0,1,0
Nebbiolo,Spain,13.0,4,5,3,2,4,3,87.0,Entry,19,1,1,0,1,1,0,1,0
Zinfandel,Portugal,12.9,1,3,5,1,4,3,83.2,Icon,1,1,1,0,1,0,0,0,0
Bonarda,Chile,12.9,5,4,5,3,3,4,88.7,Ultra Premium,5,0,1,0,1,0,1,1,0
Tempranillo,USA,14.4,2,5,1,5,5,2,84.3,Entry,18,0,0,1,1,0,0,0,1
Sauvignon Blanc,USA,14.8,5,2,4,2,4,4,91.7,Ultra Premium,9,0,1,0,1,1,0,1,1
Nebbiolo,Argentina,15.3,1,1,1,1,2,4,81.4,Entry,10,1,1,1,1,1,0,1,0
Sauvignon Blanc,Australia,14.0,3,1,1,4,5,3,81.9,Icon,1,0,0,1,0,1,0,0,1
Sauvignon Blanc,Argentina,11.3,3,1,5,4,5,2,88.3,Icon,11,1,0,0,0,0,1,0,1
Sauvignon Blanc,USA,13.5,2,4,1,1,1,2,92.0,Ultra Premium,17,1,1,1,1,0,0,0,1
Chenin Blanc,USA,11.6,3,2,5,5,4,2,82.3,Ultra Premium,17,1,1,0,0,0,1,0,1
Sangiovese,Portugal,11.7,4,4,5,4,3,1,91.6,Ultra Premium,7,0,1,0,0,1,0,0,0
Pinot Noir,Germany,13.5,4,3,3,1,4,5,93.1,Premium,15,1,0,1,0,0,0,0,0
Riesling,Chile,13.4,5,1,3,3,5,4,91.5,Icon,5,0,1,1,1,1,1,0,1
Riesling,USA,15.0,4,3,2,2,3,1,90.0,Icon,14,0,0,0,1,0,1,0,1
Torrontes,Spain,13.4,2,2,2,4,1,1,97.2,Entry,11,1,0,0,0,1,1,0,1
Syrah,Spain,12.7,4,4,2,3,2,5,91.9,Premium,8,0,0,1,1,1,1,1,0
Nebbiolo,Spain,12.8,4,5,3,5,2,4,90.1,Premium,2,1,1,0,0,1,1,0,0
Carmenere,Italy,11.3,5,4,2,5,4,3,87.9,Icon,17,0,0,1,0,1,0,0,0
Zinfandel,Portugal,15.2,5,1,1,4,4,3,92.3,Ultra Premium,14,1,0,0,0,1,1,0,0
Chardonnay,France,11.7,3,1,5,1,3,5,94.1,Ultra Premium,10,0,1,1,0,0,0,1,1
Syrah,Spain,14.6,2,5,4,2,4,2,96.4,Icon,4,1,0,1,1,1,1,1,0
Bonarda,USA,11.3,4,2,4,3,4,2,84.9,Premium,10,0,0,1,1,0,0,1,0
Sauvignon Blanc,Spain,13.8,3,1,5,4,2,1,93.9,Premium,15,1,1,1,0,1,1,0,1
Garnacha,Australia,12.8,2,4,1,5,2,5,84.6,Ultra Premium,5,1,0,0,0,0,0,1,0
Riesling,Portugal,11.8,1,2,5,4,2,1,95.3,Ultra Premium,1,0,1,0,0,1,1,1,1
Sauvignon Blanc,Portugal,14.6,1,1,2,2,1,2,83.0,Premium,16,0,1,1,1,1,1,0,1
Merlot,Chile,12.3,4,3,2,3,3,1,83.6,Ultra Premium,4,1,1,1,0,1,1,0,0
Zinfandel,Chile,11.7,3,5,1,2,4,2,90.0,Premium,3,1,1,0,1,1,0,1,0
Merlot,Spain,13.0,3,2,3,3,5,3,83.5,Icon,10,1,1,1,1,0,1,0,0
Pinot Noir,Australia,13.9,2,2,4,4,4,2,85.7,Ultra Premium,13,0,0,1,0,1,1,0,0
Malbec,Australia,11.8,5,4,3,5,4,3,95.9,Icon,11,1,0,1,0,0,0,0,0
Nebbiolo,France,11.7,2,3,3,5,1,3,89.5,Entry,2,1,1,1,0,0,0,1,0
Torrontes,Spain,15.1,3,4,4,1,3,2,94.8,Icon,9,0,1,1,1,0,1,1,1
Garnacha,USA,11.5,2,1,5,3,4,2,86.3,Ultra Premium,18,1,0,0,0,1,1,1,0
Carmenere,USA,14.6,3,3,1,4,5,2,85.9,Icon,15,0,1,0,1,1,0,1,0
Cabernet Franc,Spain,14.9,5,3,1,5,5,4,96.9,Icon,17,0,0,0,1,0,0,1,0
Semillon,Argentina,14.9,3,3,3,2,4,5,89.8,Ultra Premium,19,1,0,1,0,1,0,0,1
Pinot Noir,Germany,11.1,1,3,3,3,2,3,94.5,Icon,13,0,1,0,0,0,1,0,0
Semillon,Spain,11.5,5,5,4,1,1,1,88.4,Entry,14,0,0,0,0,0,1,1,1
Torrontes,Spain,11.3,4,2,1,5,1,5,95.1,Icon,12,0,0,1,1,1,0,0,1
Syrah,Spain,12.0,4,1,5,5,1,5,80.6,Ultra Premium,17,1,1,1,0,1,0,0,0
Zinfandel,Germany,12.4,4,1,3,2,4,5,83.1,Entry,19,1,1,0,0,0,1,0,0
Merlot,Spain,12.7,5,3,4,2,2,3,93.4,Entry,8,0,1,1,1,0,1,0,0
Riesling,Chile,11.2,3,4,2,1,1,5,88.5,Ultra Premium,8,1,0,1,0,1,1,0,1
